column,start,length
n_number,0,5
serial_number,6,30
aircraft_mfr_model_code,37,7
engine_mfr_mode_code,45,5
year_mfr,51,4
type_registrant,56,1
registrant_name,58,50
street_1,109,33
street_2,143,33
city,177,18
state,196,2
zip_code,199,10
region,210,1
county_mail,212,3
country_mail,216,2
last_activity_date,219,8
certificate_issue_date,228,8
airworthiness_classification,237,1
approved_operation_codes,238,9
type_aircraft,248,1
type_engine,250,2
status_code,253,2
mode_s_code,256,8
fractional_ownership,265,1
airworthiness_date,267,8
other_name_1,276,50
other_name_2,327,50
other_name_3,378,50
other_name_4,429,50
other_name_5,480,50
expiration_date,531,8
unique_id,540,8
kit_mfr,549,30
kit_model,580,20
mode_s_code_hex,601,10
